Date,MMM,AOS,ABT,ABBV,ACN,ADM,ADBE,ADP,AES,AFL,A,ABNB,APD,AKAM,ALK,ALB,ARE,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN
30-06-2010,53.0370369,6.57183218,16.69884109,,30.07859039,18.36068153,26.43000031,25.83378792,6.594038486,15.37538052,18.33780479,,43.11355209,40.56999969,10.10545063,32.99212646,42.01704788,14.86999989,,10.00451851,21.26797104,11.13488483,11.08221054,9.243386269,5.462999821
01-07-2010,52.74160385,6.569103718,16.58460808,,29.79063797,18.31801796,26.65999985,25.48085785,6.486991405,15.60599136,18.24105835,,43.23994064,40.34999847,9.950325966,32.88411331,42.04357529,14.30000019,,9.884741783,21.01627922,10.9982481,10.94622135,9.335637093,5.547999859
02-07-2010,52.15073776,6.605925083,16.58460808,,29.52604103,18.13312912,26.72999954,25.30119514,6.508401871,15.53752422,17.92499924,,43.21998215,39.56999969,9.721014023,32.56839371,40.94292068,14.19999981,,9.91941452,20.93484116,10.92467499,10.87299538,9.367921829,5.456999779
06-07-2010,52.46631241,6.570468903,16.66671371,,29.89181137,18.33223724,26.34000015,25.28837013,6.351400375,15.69607258,17.89920616,,43.73220062,40.25999832,10.0425005,32.48531342,40.33291626,14.10000038,,10.03288746,20.67575264,10.91266346,10.86104012,9.474010468,5.502999783
07-07-2010,54.0643425,6.910038948,17.03082085,,30.55330086,18.73045349,26.79000092,25.80170059,7.036496162,16.38430977,18.42811203,,45.06267166,42.72999954,10.57531548,33.95587158,42.89226532,14.88000011,,10.37015724,21.32718849,11.26626587,11.21297073,9.635444641,5.671500206
08-07-2010,54.53433228,7.009592056,17.17004013,,30.61556816,18.9935627,26.85000038,25.90437317,6.986540794,17.00407791,18.58290863,,45.75452042,43,10.63601398,34.44606781,43.0978241,14.88000011,,10.45841122,21.62330055,11.42542458,11.37137699,9.833781242,5.81099987
09-07-2010,55.16550827,7.125507355,17.14504623,,30.67782784,19.0006752,27.20000076,26.12895393,7.300542355,17.32477379,18.47970963,,46.39312363,43.47000122,10.71020222,34.50421906,43.23706055,14.43999958,,10.56873322,21.79356194,11.69894886,11.64360714,9.824558258,5.862999916
12-07-2010,55.23264694,7.06277895,17.07008743,,30.91908073,18.97223282,27.09000015,26.295784,7.314815044,17.26351547,18.18945503,,46.01395035,42.97999954,10.54384041,33.84786606,43.13759995,14.27000046,,10.70742607,21.54926872,11.90765762,11.8513279,9.824558258,5.975500107
13-07-2010,56.09880066,7.372344017,17.17456818,,31.32375336,19.18555641,28.11000061,26.62303925,7.300542355,17.61303902,18.54421425,,47.18474197,43.58000183,10.74167442,35.10240555,44.5764122,14.84000015,,10.83035088,21.70472717,12.24224186,12.18432999,9.843007088,6.182499886
14-07-2010,55.76309586,7.287795067,17.23942375,,31.20701981,19.12867546,28.03000069,26.75779152,7.286268711,17.44368362,18.50551224,,46.73904037,43.99000168,10.97773361,34.72023392,44.33771515,15.61999989,,10.85241699,21.46784019,12.29579639,12.23762989,9.847621918,6.164999962
15-07-2010,55.76980209,7.256429195,17.30066109,,31.14476776,19.1073494,28.21999931,26.77063179,7.279132843,17.43287659,18.31845665,,46.77896881,44.22999954,10.90354347,34.84485626,43.98628235,15.27000046,,10.9406662,21.37901306,12.36286259,12.30438042,9.89835453,6.103000164
16-07-2010,54.35305405,6.978223801,16.95840263,,30.35096359,19.01489449,27.38999939,26.07120514,7.122131824,16.66897011,17.43478394,,46.11373901,42.68999863,10.75966358,33.49062347,42.67345428,14.56999969,,10.58133984,20.60172272,11.5017519,11.44734287,9.806105614,5.924499989
19-07-2010,54.53433228,7.080503464,17.08089447,,30.48326874,19.04334831,27.67000008,26.32146454,7.186360836,16.75905609,17.76374245,,46.11373901,42.63000107,10.72369385,33.87279129,43.32987213,14.28999996,,10.68535709,20.65354347,11.66616631,11.61097908,9.861455917,5.997000217
20-07-2010,55.18563843,7.020501137,17.10251236,,30.27314186,19.47000313,27.87000084,26.58453751,7.314815044,17.24910927,17.75083733,,47.07831955,42.88999939,11.00021362,34.60392761,45.02062988,14.43999958,,10.84610748,20.92744064,12.05180168,11.99479103,9.926035881,6.005000114
21-07-2010,55.25950241,7.165056705,17.53845215,,30.04745865,19.26378632,27.67000008,25.82736397,7.157813072,16.89238548,17.78954315,,46.59934998,43.08000183,10.77540112,34.31311798,43.91334915,14.48999977,,10.69165993,20.30562019,11.94944859,11.8929224,9.875295639,5.871500015
22-07-2010,56.90452194,7.340976238,17.65734673,,30.94242477,19.51978302,28.57999992,26.60379982,7.414724827,17.96256256,18.5248661,,47.63045502,44.27999878,11.07440376,35.94153595,46.2340126,14.82999992,,10.8965416,20.77198982,12.13238239,12.07499027,10.07824421,6.003499985
23-07-2010,57.85799408,7.495080471,17.62852669,,31.42491341,19.64777374,29.22999954,26.87971687,7.464679718,18.20038414,18.89897346,,47.95642471,45.04999924,11.24076748,36.73913193,47.01641083,17.12000084,,11.01947117,20.93484116,12.26376438,12.20575047,10.20277786,5.943500042
26-07-2010,58.63012695,7.654636383,17.74020958,,31.50274849,19.76866531,29.17000008,26.98238945,7.471814632,18.39136696,19.11828232,,48.42874146,45.36999893,11.66341877,37.59489441,48.13031006,18.35000038,,11.14870071,20.97186279,12.23648643,12.17860222,10.1428175,5.920000076
27-07-2010,58.28098297,7.47462368,17.75101662,,31.38600731,19.79711342,29.21999931,26.9759655,7.643092632,18.27245331,18.62161827,,48.14269257,44.33000183,11.45658779,36.97177505,47.79878235,18.04999924,,11.35988903,21.17913628,12.32807827,12.26976013,10.17049408,5.856500149
28-07-2010,58.20712662,7.51569128,17.73300743,,31.02024841,19.66911697,28.69000053,27.01446724,7.52891016,17.84366035,18.56355667,,48.23581314,44.02999878,11.56899643,35.97478104,47.36116409,17.37000084,,11.28499603,20.91264915,12.12087059,12.06353283,10.17971992,5.856500149
